date,state,predicted_sales
2023-05-14,Alabama,221495600.0
2023-05-21,Alabama,221374260.0
2023-05-28,Alabama,221826560.0
2023-06-04,Alabama,221709280.0
2023-06-11,Alabama,221796460.0
2023-06-18,Alabama,222759410.0
2023-06-25,Alabama,222385520.0
2023-07-02,Alabama,223251020.0
2023-05-14,Arizona,238520600.0
2023-05-21,Arizona,240139870.0
2023-05-28,Arizona,241628880.0
2023-06-04,Arizona,242210860.0
2023-06-11,Arizona,243448910.0
2023-06-18,Arizona,246250750.0
2023-06-25,Arizona,248628370.0
2023-07-02,Arizona,249666830.0
2023-05-14,Arkansas,117309580.0
2023-05-21,Arkansas,116884590.0
2023-05-28,Arkansas,117494640.0
2023-06-04,Arkansas,117122940.0
2023-06-11,Arkansas,117236110.0
2023-06-18,Arkansas,117275330.0
2023-06-25,Arkansas,117164670.0
2023-07-02,Arkansas,117813784.0
2023-05-14,California,882033600.0
2023-05-21,California,886997250.0
2023-05-28,California,902447400.0
2023-06-04,California,888242370.0
2023-06-11,California,895027300.0
2023-06-18,California,910649340.0
2023-06-25,California,906512060.0
2023-07-02,California,900261700.0
2023-05-14,Colorado,184639420.0
2023-05-21,Colorado,185925150.0
2023-05-28,Colorado,187530400.0
2023-06-04,Colorado,188427420.0
2023-06-11,Colorado,189921000.0
2023-06-18,Colorado,191061860.0
2023-06-25,Colorado,192011000.0
2023-07-02,Colorado,192724000.0
2023-05-14,Connecticut,93191050.0
2023-05-21,Connecticut,93740030.0
2023-05-28,Connecticut,94238640.0
2023-06-04,Connecticut,94214870.0
2023-06-11,Connecticut,94285790.0
2023-06-18,Connecticut,94065490.0
2023-06-25,Connecticut,94472470.0
2023-07-02,Connecticut,95297416.0
2023-05-14,Florida,760837700.0
2023-05-21,Florida,768828740.0
2023-05-28,Florida,768661570.0
2023-06-04,Florida,766202500.0
2023-06-11,Florida,759944800.0
2023-06-18,Florida,757853760.0
2023-06-25,Florida,766594240.0
2023-07-02,Florida,769643970.0
2023-05-14,Georgia,397132400.0
2023-05-21,Georgia,403008000.0
2023-05-28,Georgia,403381800.0
2023-06-04,Georgia,402639260.0
2023-06-11,Georgia,402253500.0
2023-06-18,Georgia,406056320.0
2023-06-25,Georgia,408841730.0
2023-07-02,Georgia,411431400.0
2023-05-14,Illinois,327958720.0
2023-05-21,Illinois,327707400.0
2023-05-28,Illinois,327916740.0
2023-06-04,Illinois,327197100.0
2023-06-11,Illinois,327383400.0
2023-06-18,Illinois,330598400.0
2023-06-25,Illinois,335046700.0
2023-07-02,Illinois,337208860.0
2023-05-14,Indiana,232957840.0
2023-05-21,Indiana,233799710.0
2023-05-28,Indiana,235144370.0
2023-06-04,Indiana,234797890.0
2023-06-11,Indiana,234849250.0
2023-06-18,Indiana,235635600.0
2023-06-25,Indiana,234379580.0
2023-07-02,Indiana,234834300.0
